Puzzle number	Algorithm	Heuristic	Length of solution	Length of search path	Execution Time (seconds)
24			A\A*		h4		23				6260				161.83

25			UCS		NA		4				49				 0.08
25			GBFS		h1		4				11				 0.02
25			GBFS		h2		4				11				 0.02
25			GBFS		h3		4				11				 0.02
25			GBFS		h4		4				6				 0.01
25			A\A*		h1		4				49				 0.09
25			A\A*		h2		4				49				 0.08
25			A\A*		h3		4				11				 0.02
25			A\A*		h4		4				41				 0.07

26			UCS		NA		14				1881				10.89
26			GBFS		h1		16				872				 4.38
26			GBFS		h2		16				872				 4.33
26			GBFS		h3		16				872				 4.29
26			GBFS		h4		16				836				 4.16
26			A\A*		h1		14				1775				13.22
26			A\A*		h2		14				1775				13.26
26			A\A*		h3		14				1197				 7.83
26			A\A*		h4		14				1542				10.76

27			UCS		NA		6				2631				22.42
27			GBFS		h1		6				17				 0.07
27			GBFS		h2		6				17				 0.07
27			GBFS		h3		6				17				 0.07
27			GBFS		h4		6				17				 0.07
27			A\A*		h1		6				1124				12.87
27			A\A*		h2		6				1124				12.89
27			A\A*		h3		6				17				 0.08
27			A\A*		h4		6				995				11.65

28			UCS		NA		4				155				 0.44
28			GBFS		h1		4				20				 0.05
28			GBFS		h2		4				20				 0.05
28			GBFS		h3		4				20				 0.05
28			GBFS		h4		4				11				 0.03
28			A\A*		h1		4				148				 0.46
28			A\A*		h2		4				148				 0.46
28			A\A*		h3		4				20				 0.05
28			A\A*		h4		4				120				 0.39

29			UCS		NA		18				3164				23.39
29			GBFS		h1		19				1133				 6.29
29			GBFS		h2		19				1133				 6.27
29			GBFS		h3		19				1133				 6.38
29			GBFS		h4		18				944				 5.53
29			A\A*		h1		18				2638				27.76
29			A\A*		h2		18				2638				28.31
29			A\A*		h3		19				1202				 8.56
29			A\A*		h4		18				2530				26.24

30			UCS		NA		6				98				 0.21
30			GBFS		h1		6				12				 0.03
30			GBFS		h2		6				12				 0.03
30			GBFS		h3		6				12				 0.03
30			GBFS		h4		6				12				 0.03
30			A\A*		h1		6				65				 0.15
30			A\A*		h2		6				65				 0.15
30			A\A*		h3		6				12				 0.03
30			A\A*		h4		6				56				 0.13

31			UCS		NA		14				5497				78.81
31			GBFS		h1		15				639				 4.28
31			GBFS		h2		15				639				 4.27
31			GBFS		h3		15				639				 4.33
31			GBFS		h4		15				543				 3.87
31			A\A*		h1		14				4279				93.65
31			A\A*		h2		14				4279				89.94
31			A\A*		h3		15				2389				33.12
31			A\A*		h4		14				3990				78.76

32			UCS		NA		5				453				 1.64
32			GBFS		h1		5				17				 0.06
32			GBFS		h2		5				17				 0.06
32			GBFS		h3		5				17				 0.06
32			GBFS		h4		5				12				 0.04
32			A\A*		h1		5				249				 0.96
32			A\A*		h2		5				249				 0.95
32			A\A*		h3		5				17				 0.06
32			A\A*		h4		5				208				 0.82

33			UCS		NA		19				919				 3.14
33			GBFS		h1		21				418				 1.66
33			GBFS		h2		21				418				 1.50
33			GBFS		h3		21				418				 1.42
33			GBFS		h4		21				370				 1.28
33			A\A*		h1		19				815				 3.54
33			A\A*		h2		19				815				 3.40
33			A\A*		h3		21				569				 2.21
33			A\A*		h4		19				714				 2.82

34			UCS		NA		8				1376				 8.17
34			GBFS		h1		8				112				 0.41
34			GBFS		h2		8				112				 0.45
34			GBFS		h3		8				112				 0.41
34			GBFS		h4		8				112				 0.46
34			A\A*		h1		8				930				 6.60
34			A\A*		h2		8				930				 6.64
34			A\A*		h3		8				187				 0.71
34			A\A*		h4		8				811				 5.83

35			UCS		NA		6				1047				 4.69
35			GBFS		h1		7				47				 0.17
35			GBFS		h2		7				47				 0.17
35			GBFS		h3		7				47				 0.17
35			GBFS		h4		7				42				 0.20
35			A\A*		h1		6				658				 3.91
35			A\A*		h2		6				658				 3.94
35			A\A*		h3		6				34				 0.12
35			A\A*		h4		6				573				 3.61

36			UCS		NA		10				5684				145.93
36			GBFS		h1		12				878				 5.98
36			GBFS		h2		12				878				 5.90
36			GBFS		h3		12				878				 5.66
36			GBFS		h4		12				750				 4.97
36			A\A*		h1		10				3508				98.09
36			A\A*		h2		10				3508				101.90
36			A\A*		h3		10				904				 7.49
36			A\A*		h4		10				2330				48.53

37			UCS		NA		7				1651				13.17
37			GBFS		h1		7				233				 0.89
37			GBFS		h2		7				233				 0.88
37			GBFS		h3		7				233				 0.99
37			GBFS		h4		7				121				 0.41
37			A\A*		h1		7				970				 8.28
37			A\A*		h2		7				970				 8.68
37			A\A*		h3		7				235				 1.05
37			A\A*		h4		7				484				 3.50

38			UCS		NA		6				534				 1.86
38			GBFS		h1		7				48				 0.12
38			GBFS		h2		7				48				 0.13
38			GBFS		h3		7				48				 0.13
38			GBFS		h4		7				48				 0.14
38			A\A*		h1		6				289				 1.08
38			A\A*		h2		6				289				 1.07
38			A\A*		h3		7				48				 0.13
38			A\A*		h4		6				289				 1.01

39			UCS		NA		NA				306				 0.59
39			GBFS		h1		NA				306				 0.56
39			GBFS		h2		NA				306				 0.54
39			GBFS		h3		NA				306				 0.55
39			GBFS		h4		NA				306				 0.56
39			A/A*		h1		NA				306				 0.69
39			A/A*		h2		NA				306				 0.72
39			A/A*		h3		NA				366				 0.81
39			A/A*		h4		NA				306				 0.69

40			UCS		NA		7				1851				13.77
40			GBFS		h1		7				201				 0.87
40			GBFS		h2		7				201				 0.93
40			GBFS		h3		7				201				 0.88
40			GBFS		h4		7				184				 0.86
40			A\A*		h1		7				1186				10.16
40			A\A*		h2		7				1186				10.24
40			A\A*		h3		7				244				 1.24
40			A\A*		h4		7				1096				 9.65

41			UCS		NA		12				809				 4.02
41			GBFS		h1		12				496				 2.21
41			GBFS		h2		12				496				 2.31
41			GBFS		h3		12				496				 2.13
41			GBFS		h4		12				496				 2.22
41			A\A*		h1		12				642				 3.19
41			A\A*		h2		12				642				 3.21
41			A\A*		h3		12				521				 2.48
41			A\A*		h4		12				642				 3.27

42			UCS		NA		NA				1725				 9.55
42			GBFS		h1		NA				1725				10.53
42			GBFS		h2		NA				1725				10.28
42			GBFS		h3		NA				1725				10.02
42			GBFS		h4		NA				1725				 9.55
42			A/A*		h1		NA				1725				11.81
42			A/A*		h2		NA				1725				12.23
42			A/A*		h3		NA				1754				12.85
42			A/A*		h4		NA				1725				12.24

43			UCS		NA		5				234				 0.66
43			GBFS		h1		5				95				 0.25
43			GBFS		h2		5				95				 0.25
43			GBFS		h3		5				95				 0.26
43			GBFS		h4		5				40				 0.10
43			A\A*		h1		5				168				 0.50
43			A\A*		h2		5				168				 0.49
43			A\A*		h3		5				95				 0.27
43			A\A*		h4		5				106				 0.31

44			UCS		NA		NA				7612				295.32
44			GBFS		h1		NA				7612				312.89
44			GBFS		h2		NA				7612				316.75
44			GBFS		h3		NA				7612				296.71
44			GBFS		h4		NA				7612				278.15
44			A/A*		h1		NA				7612				434.81
44			A/A*		h2		NA				7612				438.88
44			A/A*		h3		NA				7612				473.77
44			A/A*		h4		NA				7612				451.98

45			UCS		NA		7				302				 0.75
45			GBFS		h1		7				66				 0.15
45			GBFS		h2		7				66				 0.15
45			GBFS		h3		7				66				 0.15
45			GBFS		h4		7				40				 0.08
45			A\A*		h1		7				248				 0.67
45			A\A*		h2		7				248				 0.68
45			A\A*		h3		7				70				 0.17
45			A\A*		h4		7				166				 0.44

46			UCS		NA		NA				236				 0.45
46			GBFS		h1		NA				236				 0.47
46			GBFS		h2		NA				236				 0.47
46			GBFS		h3		NA				236				 0.47
46			GBFS		h4		NA				236				 0.47
46			A/A*		h1		NA				236				 0.49
46			A/A*		h2		NA				236				 0.49
46			A/A*		h3		NA				256				 0.56
46			A/A*		h4		NA				236				 0.50

47			UCS		NA		11				3037				25.83
47			GBFS		h1		12				1217				 6.95
47			GBFS		h2		12				1217				 6.90
47			GBFS		h3		12				1217				 6.93
47			GBFS		h4		12				1217				 6.99
47			A\A*		h1		11				2274				22.76
47			A\A*		h2		11				2274				23.01
47			A\A*		h3		12				1037				 7.33
47			A\A*		h4		11				2274				23.01

48			UCS		NA		9				974				 3.59
48			GBFS		h1		11				187				 0.45
48			GBFS		h2		11				187				 0.45
48			GBFS		h3		11				187				 0.45
48			GBFS		h4		11				206				 0.53
48			A\A*		h1		9				767				 3.56
48			A\A*		h2		9				767				 3.53
48			A\A*		h3		9				191				 0.52
48			A\A*		h4		9				498				 2.05

49			UCS		NA		4				84				 0.09
49			GBFS		h1		4				8				 0.01
49			GBFS		h2		4				8				 0.01
49			GBFS		h3		4				8				 0.01
49			GBFS		h4		4				8				 0.01
49			A\A*		h1		4				74				 0.09
49			A\A*		h2		4				74				 0.08
49			A\A*		h3		4				8				 0.01
49			A\A*		h4		4				65				 0.08

50			UCS		NA		NA				6026				118.66
50			GBFS		h1		NA				6026				138.95
50			GBFS		h2		NA				6026				140.60
50			GBFS		h3		NA				6026				141.41
50			GBFS		h4		NA				6026				134.70
50			A/A*		h1		NA				6026				232.13
50			A/A*		h2		NA				6026				236.94
50			A/A*		h3		NA				6204				261.20
50			A/A*		h4		NA				6026				244.12

